guid,price,date
"E20 1EA, 11a369db92629bfd6d80750fd134fcc61d65079e",249200,2017-04-19
"E20 1EA, d0faaa6b6f0de8401c3639473224d187b77b759d",540000,2018-04-24
"E20 1EA, d0faaa6b6f0de8401c3639473224d187b77b759d",565000,2022-06-28
"E20 1EA, a10a2a7fb5fc4b00ad3aaf8ca834b860a22aeffa",550000,2019-01-18
"E20 1EA, e39622fcdb9fabb00e3378595879a82d7bafda81",563000,2019-09-13
"E20 1EA, b0285cd89202bb0e1939bbfc4c6d4a08d6048425",595000,2021-12-14
"E20 1EA, 696ae9d57e3ab4dea2e7ddb5b6a90e1fae6b7e2a",556250,2021-11-24
"E20 1EA, 28cfa4f1474943db3a0941a96e2004aba63c6ba5",557000,2021-07-26
"E20 1EA, 2635cc27d592290e7666ab2b4caf61c71e067a43",495000,2021-04-16
"E20 1EA, eac7172da4cb0ca5b0f3151ea1e50e7e1914b3dc",137500,2021-12-13
"E20 1EA, 2e2f82822c0bce754011e34b0c47d8ee4fe81fee",580000,2022-11-11
"E20 1EA, 6fc3c3c95b96d86264565f4f60c5af0f58c2b44d",535000,2022-01-28
"E20 1EA, abdb03aa5acdc9e24fa0bea1af3c0556fa352cd4",135000,2022-08-26
"E20 1EA, cac5a37bd257784bdf64f67f9bfc7dbfeafdd30e",565000,2022-02-28
"E20 1EA, 12a5553ac9656ce9ec21305f92ff1a45a1139d65",137500,2022-04-22
"E20 1EA, e89ee7cf750971bed18be06c4498613088fcfacd",552500,2022-02-18
"E20 1EB, 0831059f0d6fa3eb4f07ebee86f80ac3c4d345b4",610000,2016-12-12
"E20 1EB, d7e481020329164b8671a31b1de2f236e30698b4",600000,2021-12-17
"E20 1EB, 6e4e5d38b6e2c2e529465c9cf5a37d8f581a77d4",625000,2022-04-12
"E20 1ED, 47b49980b5b4614042b6aa0da60a56eb17e9f48b",327000,2022-08-24
"E20 1EL, 3d4471e29cc0130a2eb628cc40e90ac572241f44",270000,2016-07-13
"E20 1EL, 093e87c32bfba151f5453e50fac8d59cd32e5cd6",22583,2017-05-05
"E20 1EL, f0bc27c4f7ecde036d374055d2150151d4c22651",167500,2017-10-24
"E20 1EL, fa9661c36bf65bc2bb48acff6a521b2b03ecbfb5",100000,2017-03-20
"E20 1EL, a786e2177dd93a16383086d35afb15e0aa4c1d90",180000,2018-09-21
"E20 1EL, cc1bd750cea7f7207650195deee296b5eb61a3fc",2000,2020-11-18
"E20 1EN, ed1c9032e017b72b481944e9b2660f22cfae2688",100000,2013-10-23
"E20 1EP, 106dfca480ec0c99f316b17f7fc67ca8c1ad293e",750000,2018-08-28
"E20 1EP, 787d618fef3bdf23470de7a76a1eae3ff13e0730",96151,2021-05-03
"E20 1ET, fe23188d461f0beae845740d8c27b70aaa14f45e",130000,2013-12-03
"E20 1ET, fe23188d461f0beae845740d8c27b70aaa14f45e",750000,2017-09-25
"E20 1ET, 9ab5704ad8f92986649afdf3ccbd03f48163eab0",207500,2018-02-05
"E20 1ET, 33900c765375b1c803922a13723581d79489984c",255296,2020-11-20
"E20 1EZ, c35845a94df74b1895938fe8117712965dafda95",309625,2017-11-24
"E20 1EZ, c35845a94df74b1895938fe8117712965dafda95",635000,2021-02-26
"E20 1EZ, b8c23b8d3844fbff3c56ef6f78b8998a78bc91f2",635000,2022-07-01
"E20 1FA, 8c39a43ef2c04572dc438995ba6b2c3e0b3952b3",750000,2017-06-26
"E20 1FA, 8c39a43ef2c04572dc438995ba6b2c3e0b3952b3",800000,2021-04-06
"E20 1FA, 75ea7dfa84f9d99b87273b61e0378289dc8ad214",645000,2017-06-23
"E20 1FA, 75ea7dfa84f9d99b87273b61e0378289dc8ad214",700000,2021-04-01
"E20 1FA, 2fe70161537babf473c4ced67f1bd79ad0f418f9",430000,2017-06-20
"E20 1FA, 555a9042627dab0b6050c06fc7fd92568ab23958",650000,2017-07-07
"E20 1FA, 00cdf1f9e61abbaccc9f2d9b2523811398dbd74d",795000,2017-07-14
"E20 1FA, 00cdf1f9e61abbaccc9f2d9b2523811398dbd74d",840000,2018-07-20
"E20 1FA, 12be7d795241745299c8fa48d65936d65732e9eb",710000,2017-06-30
"E20 1FA, e3b4a91bf6aa4f1e62475ebcabea12cd5ed9a12a",680000,2017-06-14
"E20 1FA, 3e526c8d61034806e38e4a8bafe3bedc9637723a",430000,2017-06-26
"E20 1FA, cca446277ad349c603db84ddbd9775e6f7fd641b",587000,2017-06-01
"E20 1FA, a88ba9876a937469d158f4c18698358e7b38584c",670000,2017-06-14
"E20 1FA, b5734c577278f9ea92199af58f630b3aec6fb8a2",615000,2017-06-28
"E20 1FA, b5734c577278f9ea92199af58f630b3aec6fb8a2",630000,2019-06-07
"E20 1FA, b5734c577278f9ea92199af58f630b3aec6fb8a2",630000,2020-01-31
"E20 1FA, 2616fc8c7a5900af850229b5322dfb705022583c",600000,2017-06-28
"E20 1FA, 2ace29467779039ec7f71e52f61e83fc6e29aa29",425000,2017-06-27
"E20 1FA, 7cd94c8d9552cab81f55b3bd09c57ca9a206fd12",720000,2017-09-22
"E20 1FA, 9139633d967ccb48287f09712551e82827051aa8",495000,2017-06-27
"E20 1FA, bf0500cf12cdbbcbacbfa1da64d3ba7d29a679c0",670000,2017-06-30
"E20 1FA, d566e0cde9be4bf7b7978e9471929be795c0af58",660000,2017-06-21
"E20 1FA, cf6f740cc97ad1fad92ad4d321e1969ef5c25ebc",670000,2017-06-30
"E20 1FA, b90e15734b7c5fa2f04e8c45c41c41ca57e32b12",660000,2017-07-27
"E20 1FA, 9e80ec0aff4caabf0d0c3ff2fb81f3380b954c58",550000,2017-06-08
"E20 1FA, 6a0cf43cb7bec7bb7ee7847db6626375949e39a2",840000,2017-06-28
"E20 1FA, 2e423e3db7bea4a2e9c4f0780151a9242ba723b8",400000,2017-06-20
"E20 1FA, b4186f0550e3ef9a6405361cf7aa4f7438dd61a6",595000,2017-06-26
"E20 1FA, f6598ad918bad4a97da3610fa349349ba616244b",600000,2017-06-19
"E20 1FA, f6598ad918bad4a97da3610fa349349ba616244b",680000,2018-03-20
"E20 1FA, 4bd880c92ce1fe3d674969ef686a33bff7958eca",450000,2017-06-28
"E20 1FA, e5657eec1a5a5b41649f51e4d7ed4962eaf9166f",385000,2017-06-26
"E20 1FA, e5657eec1a5a5b41649f51e4d7ed4962eaf9166f",447500,2021-10-25
"E20 1FA, 74d413f06e8853a301ad479985fd0296058271b9",600000,2017-06-19
"E20 1FA, 6add2b68f4f718a0bc2ea195561d7b7fc748f1fa",585000,2017-06-30
"E20 1FA, b034db364c67eaeddf801d82550d65a9741d376f",700000,2017-06-16
"E20 1FA, 9bdcb6ebe9cf8db3143db8d91d3ebbd496feac3c",570000,2017-06-19
"E20 1FA, 9bdcb6ebe9cf8db3143db8d91d3ebbd496feac3c",725000,2021-06-04
"E20 1FA, 00f0fa745ffe9847c51eb2c0f5e00819409525f2",425000,2017-06-22
"E20 1FA, 00f0fa745ffe9847c51eb2c0f5e00819409525f2",450000,2021-06-04
"E20 1FA, a42669b654814db53f039974e5d453ecc6d7c190",450000,2017-06-01
"E20 1FA, a42669b654814db53f039974e5d453ecc6d7c190",470000,2019-08-05
"E20 1FA, d36c7b279543c911e16ad48fa9ab4ff8ece0fbd2",570000,2017-05-31
"E20 1FA, 3433c2b7606e3be4f50c071b002848b4611defa7",550000,2017-06-30
"E20 1FA, eac55af1f8ce2cdd03ac626d31ea63b444a4155d",545000,2017-06-05
"E20 1FA, fc6153badef3aa5b0554951edbd5da4d5943e773",639000,2017-06-14
"E20 1FA, 598dc6a3c5e20b5ce912a386a2b26d535b6bba35",570000,2017-05-31
"E20 1FA, e569299bdac313933ebf8455fc7540a637123264",600000,2017-06-30
"E20 1FA, d9aed1dffc640f6c5b78d8c42c2566ba4aea196a",550000,2017-05-31
"E20 1FA, 33f9c73f3d83651dda048b738148ac358ee69e66",570000,2017-06-27
"E20 1FA, 33f9c73f3d83651dda048b738148ac358ee69e66",800000,2022-12-15
"E20 1FA, 09926e5141f93613b89351f41d73876165987862",645000,2017-06-28
"E20 1FA, 3fc3f0eb7adb65558b3025ef5d2781e160efece7",580000,2017-07-10
"E20 1FA, aab06f86316a7bac1c5e46fe90897d883b034c07",580000,2017-06-26
"E20 1FA, aa41ef09579a813ead1a7cef389b5cb799b9bdee",600000,2017-06-21
"E20 1FA, 2296159596d17a18b452f557dc74889c0ac1d8ef",570000,2017-06-14
"E20 1FA, 0bf2c74387a8dd03d49fb4f84f424ca0a1d2f4c1",550000,2017-06-19
"E20 1FA, 55fa030fdd9119c88bf8418581e5919669383162",590000,2017-06-23
"E20 1FA, 4a79ca3590700ee834efa5f46dbf501dc998393d",410000,2017-06-02
"E20 1FA, 2ca6b4a2de501667aa45bc1441ff8e5cdabef596",430000,2017-05-31
"E20 1FA, fb80f60375e11eb8a6b09f53b9b213cd38f2d835",585000,2017-05-30
"E20 1FA, 5e9ae54aeecda21b1d4fb68673a06fa541a35feb",425000,2017-05-31
"E20 1FA, 927aba8a9252931c30cc26b4bae11f9c98216e2c",425000,2017-06-30
"E20 1FA, 5b7148fb3cd38699332ba06f0b4cf937b3b2bcb5",430000,2017-06-09
"E20 1FA, b0598be0faf2130ba19e05691955dce0ad62c80b",560000,2017-06-14
"E20 1FA, ad9cbb2aea3e3c56249b7d7e478e97cbba1dd5a9",550000,2017-06-20
"E20 1FA, 771c07e5dd3b50ff28d4936bf4a516f59f4962b9",660000,2017-06-21
"E20 1FA, 151d18c293cbcc5a23e4f488347089982a15fc65",700000,2017-06-21
"E20 1FA, 0093a862f47bc8eff85adbcc814f02b5ba0ab565",660000,2017-06-21
"E20 1FA, d36ab719319a91f06f220d6d0edab8e212170daa",540000,2017-06-27
"E20 1FA, d36ab719319a91f06f220d6d0edab8e212170daa",638550,2020-12-07
"E20 1FA, bd36d693779ea7d90fe8412df5a4ca6c465bd0b6",545000,2017-06-26
"E20 1FA, d087d73731d07985243e94d62999bdfb89764ed4",375000,2017-06-26
"E20 1FA, ff9f68ffc0c0a8a5a37c9961ba15357cbe4f124f",495000,2017-06-26
"E20 1FA, fd8fd776a7d744e8b72e492974946b90d572973e",380000,2017-06-30
"E20 1FA, 5d9d028ee77dbbc63a5941127938b42cee674089",400000,2017-07-26
"E20 1FA, 6d94409c1da7429e2132a9c763cdb74b369e01e8",460000,2018-06-29
"E20 1FD, 9b423e0d0a1fcc0e9b6884cb0a9ed71573cf71a8",18009500,2019-11-07
"E20 1FF, 3504b30c9d43674d76892e11aff734638f0e6324",540000,2021-03-03
"E20 1FF, 79ff0a779bbff55ae854461e61d4ec50b49ba0cf",545000,2023-07-14
"E20 1FG, c89b758feaf2e555a6f3c3136ddb963e33546ad3",159000,2017-12-20
"E20 1FG, e2c19e536322bd63178c06c8b339b4322e5befe8",107356,2017-11-24
"E20 1FH, ea7d1121fef0d7f1d820771e8415a53e277daf29",312000,2018-08-17
"E20 1FH, e71d553ffba0d05c890796c38ce01f053a9e98b7",165000,2019-07-05
"E20 1FH, 20a15eaf1272ad134b68b850d90454063f37dcb4",312500,2019-08-12
"E20 1FL, 91e71875212245837891d7b4c2d97fd45ffb45ca",257500,2017-12-20
"E20 1FL, 41bf0ea69d09a51a3d78f9738a8da827ed63b618",520000,2019-05-17
"E20 1FQ, d1f8238010eda6ba7a30e88571de6d81e2a6e9ec",360000,2017-05-31
"E20 1FQ, d1f8238010eda6ba7a30e88571de6d81e2a6e9ec",400000,2017-05-31
"E20 1FQ, 692bedb522baca7748571a0b9ca82c7d58ee9ae0",600000,2017-11-23
"E20 1FQ, 1830281fd9148c972ae93d99d19d96f790cdd010",560000,2017-06-02
"E20 1FQ, db23448d9d6aa09f7bc5139cb3eb137d8ee85366",660000,2017-05-22
"E20 1FQ, 160bca81c57988646fcd79de7cb9b7a460ffb944",660000,2017-06-15
"E20 1FQ, 41d4837c17ac6925e92ae1ddc3573b13d6324e9b",584500,2017-12-01
"E20 1FQ, 41d4837c17ac6925e92ae1ddc3573b13d6324e9b",500000,2017-05-26
"E20 1FQ, 017e8a16a51436eafa978a959e3b3ea6ef9617a6",615000,2017-06-13
"E20 1FQ, 5b9e4353048894a6c12e8faf4429126d617f4dda",575000,2017-06-02
"E20 1FQ, 5b9e4353048894a6c12e8faf4429126d617f4dda",670000,2019-11-29
"E20 1FQ, a21bbea0e314ac34c3da754b0b5de18fca54c27b",505000,2017-05-26
"E20 1FQ, 77f75317bb9b643e08fd4d66f871c2c0b32f7071",425000,2017-04-28
"E20 1FQ, 2889844c33bd4dd4837a7263046cb4682c0358fc",590000,2017-06-05
"E20 1FQ, 2889844c33bd4dd4837a7263046cb4682c0358fc",648000,2020-12-07
"E20 1FQ, 901f3514c6f6000f446cfa51d6fac5796c580e69",430000,2017-05-26
"E20 1FQ, 6400df613d83af410c1e0a5f6a38165b41899f99",650000,2017-06-13
"E20 1FQ, 80fe1c0554f47aabe06186ea4bde7b5d2ffaee53",430000,2017-05-26
"E20 1FQ, 43883024257c609e52e84305c1b1931575d39169",375000,2017-06-05
"E20 1FQ, 4cd0c74825bd53414e1d44cf888ebb10659cf310",415000,2017-04-28
"E20 1FQ, 1e7617b64d6386fd7cc5883ec7252f6b2167d5cc",645000,2017-06-13
"E20 1FQ, 9af4913dfae611977aacad8eaf5eda52b81e31ca",545000,2017-06-05
"E20 1FQ, 9af4913dfae611977aacad8eaf5eda52b81e31ca",670000,2022-12-06
"E20 1FQ, 8a64890913a050c17886c7a920d0e33df92eaad8",595000,2017-06-13
"E20 1FQ, 8a64890913a050c17886c7a920d0e33df92eaad8",442000,2022-08-30
"E20 1FS, dd338bfebf5923d8554969dd719867982de59271",41000,2018-02-16
"E20 1FS, 33817b649f1e25a5b45fc0a3abbcb59bb9225e67",1000,2021-08-02
"E20 1FU, 70d0e28bc1c3f89b3413bdb857a4f77a87c1c466",863000,2019-06-17
"E20 1FU, 269c064a3d5aaafd2a160bdf90b0939f99bba1d1",869000,2019-06-03
"E20 1FU, 30621e3ae6a2db844fadfed0abce3a36eb54e398",861000,2019-09-27
"E20 1FU, f0b1ce3757a9ea12987f8d1e71c741117dc59cf0",864000,2019-09-20
"E20 1FU, 14fe02b380deb51ee3dad5f6528bd6344a3f3936",860000,2019-06-02
"E20 1FU, f5b985c60acfd92da575a7dcc3b8287b908f650f",850000,2019-08-06
"E20 1FU, 792e2316948ef4a05c50d806f07e945573dc3e33",861000,2019-06-14
"E20 1FU, 624b3a11d56cad5662637aef753ce31de4ee29ab",850000,2019-07-24
"E20 1FU, b3bbcd1453f28041b76db7ac5dd6983a38ddeff3",860000,2019-09-18
"E20 1FU, 0dd15d6160319564a9290b783b14eee867b3af0d",830000,2019-10-01
"E20 1FU, 5dcfb276ac8c85b7bf0441a04225f22c4d35040b",854000,2019-09-26
"E20 1FU, 673116217388babf81396089682d889b45fc6273",859000,2019-12-11
"E20 1FU, 03a0cf24c85c8828c84cebd0ce84209435219052",865000,2019-05-31
"E20 1FU, eafdc5e021a0154cbbd3c29af40c3b9adcff4293",866000,2019-07-26
"E20 1FU, 4d87ea0afd0230cb002d8edd106dd4b67716458b",866000,2019-05-31
"E20 1FU, f4e58fe6a4d9d921f4fe276e4287765501e6696c",720000,2021-06-29
"E20 1FU, 7746de36d286fc078adba7ec1fb801932a67ec5d",720000,2021-08-27
"E20 1FU, 48d759cec62124c6ae1aef052de6c44772da6850",720000,2021-08-24
"E20 1FU, 4eea8aff48de5ae3f38b672b4afafae889567206",870000,2021-12-23
"E20 1FU, 5deec5305e67b97336e9d406394f13ad9ff8d987",870000,2021-12-22
"E20 1FU, d44757513b0619212c9d4675f95d34da1496b6c6",884000,2021-12-20
"E20 1FU, 1cbec95a4dc2c43373267b2b10c6da86b37b0e36",889000,2021-12-20
"E20 1FU, e7209f2dd5feee965bec0e8631ad0d9be9d4b5aa",705000,2021-08-27
"E20 1FU, ec986839b857097c07d445bbe1f996e4d7b4b964",870000,2021-12-20
"E20 1FU, 03c06dabef4e36c7a038471a47b21d631ef73188",889000,2021-12-23
"E20 1FU, c03e9954aae185d60d817fb208bf1aa4efb853ad",870000,2021-12-29
"E20 1FU, f719761586d10b91b9472c1c2108fef5dc02042a",870000,2022-04-07
"E20 1FU, 18ae41fc84d145dd3e0d9f26e348431003b35565",889000,2022-04-01
"E20 1FU, 534f485b6de7374a8ad6412ebb6823058318b1d8",889000,2022-04-01
"E20 1FU, 90f3bfca91b0f9998740ac29bac97594ac3f3b1e",870000,2022-04-07
"E20 1FU, 7270409371e14a907e404a17eeec13984856188f",870000,2022-04-01
"E20 1FU, b549da2d6c30984845eb97d421abee498eb68eca",251274,2022-12-14
"E20 1FU, 83806e6a4211d5b369e729191d2e0e97f61ed777",879000,2022-04-01
"E20 1FU, c04ebdb3a1db8bc7c6adfcab0cb957c0ff20a59f",889000,2022-04-01
"E20 1GQ, bcda1439072b220ae5a60646ca4f6755cc436217",855000,2018-12-21
"E20 1GQ, 7c5d05bd7ca3467f59fd3d95879fb47fabcd3ab9",630000,2018-12-20
"E20 1GQ, e12045abbff2dfcdc3ef5ce83347922729d13321",785000,2018-12-21
"E20 1GQ, 7fe1a5fc4fd51ce8213c31f6ab48e48a2dd7b505",955000,2018-12-21
"E20 1GQ, a6bdabe5c3122c043b519ee880a1cea51017988b",557000,2018-12-19
"E20 1GQ, 500a139cbba6d823079eb2ea8018bec56f8a4ad4",743500,2018-12-21
"E20 1GQ, 5d3dbad9ca7030df79d0b248ef2d912d7491db78",750000,2018-12-20
"E20 1GQ, 9c3f19f22f3b6e1f4bc0666f4d39f3991dd4d90c",815000,2018-12-21
"E20 1GQ, 0f3a107fa9d48db25e2ad93139acd4cc0a08a226",1125000,2018-12-21
"E20 1GQ, e4573a89e2d6f9ad4390559c420ea88147ce67dd",783075,2018-12-21
"E20 1GQ, be5501341452da8e8de127ed4c19d51e7ae70b6c",640000,2018-12-21
"E20 1GQ, a9b1f072244f9bba6e375b55fb9cc788699304ac",783075,2018-12-21
"E20 1GQ, 76e562c4965037d183454c110da84d23c1fa193e",825000,2018-12-21
"E20 1GQ, 8ff053604d815b08ae1a34b574840dee82fe082a",797000,2018-12-21
"E20 1GQ, e3f73b8ce192c6bcccfb26e79401ce8155660a91",807000,2018-12-21
"E20 1GQ, ca7d45df71b4b1ec3de2430ee7f358a5d18f44e1",405000,2019-02-11
"E20 1GQ, bc0a7a95d79d8cd7b1676166d75f096f217bcdfe",795000,2019-02-15
"E20 1GQ, 4f63d4ea2d65f6cdece6631a04c1e4922cf47f59",570000,2019-04-11
"E20 1GQ, c1921e343983eeca7d05dd31b64c34583cde863e",880894,2019-03-29
"E20 1GQ, dd8feced48a2b6ad9a893f8e43de0b13f0ceaad5",399000,2019-04-05
"E20 1GQ, e1d09272655035a8577581aad2d95e7b1eb2512e",427000,2019-04-05
"E20 1GQ, 79b5ad5d66120ff5ae49dbf33e3e7b6cc6d7adc5",560000,2019-04-05
"E20 1GQ, 0f04b08e9620c15628b49fa2620ab3e070238398",630000,2019-04-05
"E20 1GQ, 6dc347aa74611949eb243af198999f128a0d99f4",665000,2019-04-05
"E20 1GQ, 66c79d6656c2c5be96ac96ab43a09d04d208791d",376713,2019-04-05
"E20 1GQ, b75ee66bc2bc15e75950fc8ce764264d90d4529f",329000,2019-04-05
"E20 1GQ, 6dc77e267b50cdb7b2c79c7bb5b9b516066411ac",455000,2019-04-05
"E20 1GQ, 2b68d740877016cbec2439eae76898a6431e0cdf",490000,2019-04-05
"E20 1GQ, 400984376750dd9e5b5038b012910904b3775e57",322000,2019-04-05
"E20 1GQ, 0921af35478bb6c304ff2fd151f30973fba91449",420000,2019-04-05
"E20 1GQ, a0c31757a14b2c97254710e5773917937fdbcb06",421750,2019-04-05
"E20 1GQ, 88d86ef1f2305059871f8944bbbaac562f4d24f3",406000,2019-04-05
"E20 1GQ, 8d56678cf67b93a373881f2b955118587f2928ab",336000,2019-04-05
"E20 1GQ, 7598a9ed7d05f196beb2f3e34b6dacecab48e50b",325500,2019-04-05
"E20 1GQ, 47521eef6a70c28fec368ca52cb60572d479e991",425250,2019-04-05
"E20 1GQ, d9ae80400091e8b8dd47b28471003a0e0d5e69ba",427000,2019-04-05
"E20 1GQ, 92fe00ff06aa265a55f259a32e8b987a0f82b2a9",409500,2019-04-05
"E20 1GQ, 4ab6b9a64288fc10695bc9f31d06098414af94f2",339500,2019-04-05
"E20 1GQ, 4e676066b6ae0a5b1afd4d27549e20696b7ab02a",434000,2019-04-05
"E20 1GQ, 9ad61919d538d61a3eb159b7a892e4577ef0567b",500500,2019-04-05
"E20 1GQ, 2c64db2c6d55a366372fbbcb886f4679707d3f0c",329000,2019-04-05
"E20 1GQ, 18c2718ec67fef167af04f6800390d5d2bd04061",432250,2019-04-05
